Corop,Agegroup,Population
Oost_Groningen,Age_0_9,12146
Oost_Groningen,Age_10_19,15087
Oost_Groningen,Age_20_29,12845
Oost_Groningen,Age_30_39,13300
Oost_Groningen,Age_40_49,17499
Oost_Groningen,Age_50_59,21255
Oost_Groningen,Age_60_69,19503
Oost_Groningen,Age_70_79,15251
Oost_Groningen,Age_80_150,7936
Delfzijlenomgeving,Age_0_9,4162
Delfzijlenomgeving,Age_10_19,5176
Delfzijlenomgeving,Age_20_29,4474
Delfzijlenomgeving,Age_30_39,4445
Delfzijlenomgeving,Age_40_49,5720
Delfzijlenomgeving,Age_50_59,7316
Delfzijlenomgeving,Age_60_69,6737
Delfzijlenomgeving,Age_70_79,5246
Delfzijlenomgeving,Age_80_150,2775
OverigGroningen,Age_0_9,36694
OverigGroningen,Age_10_19,45411
OverigGroningen,Age_20_29,77201
OverigGroningen,Age_30_39,48232
OverigGroningen,Age_40_49,48566
OverigGroningen,Age_50_59,52588
OverigGroningen,Age_60_69,45854
OverigGroningen,Age_70_79,32146
OverigGroningen,Age_80_150,16425
Noord_Friesland,Age_0_9,32568
Noord_Friesland,Age_10_19,38770
Noord_Friesland,Age_20_29,39813
Noord_Friesland,Age_30_39,35717
Noord_Friesland,Age_40_49,40351
Noord_Friesland,Age_50_59,45605
Noord_Friesland,Age_60_69,40854
Noord_Friesland,Age_70_79,30270
Noord_Friesland,Age_80_150,15329
Zuidwest_Friesland,Age_0_9,14284
Zuidwest_Friesland,Age_10_19,18000
Zuidwest_Friesland,Age_20_29,13614
Zuidwest_Friesland,Age_30_39,14409
Zuidwest_Friesland,Age_40_49,18109
Zuidwest_Friesland,Age_50_59,21565
Zuidwest_Friesland,Age_60_69,18883
Zuidwest_Friesland,Age_70_79,14879
Zuidwest_Friesland,Age_80_150,7397
Zuidoost_Friesland,Age_0_9,18731
Zuidoost_Friesland,Age_10_19,23039
Zuidoost_Friesland,Age_20_29,18916
Zuidoost_Friesland,Age_30_39,19951
Zuidoost_Friesland,Age_40_49,24375
Zuidoost_Friesland,Age_50_59,28523
Zuidoost_Friesland,Age_60_69,24434
Zuidoost_Friesland,Age_70_79,19015
Zuidoost_Friesland,Age_80_150,10271
Noord_Drenthe,Age_0_9,18622
Noord_Drenthe,Age_10_19,23529
Noord_Drenthe,Age_20_29,16414
Noord_Drenthe,Age_30_39,19340
Noord_Drenthe,Age_40_49,25394
Noord_Drenthe,Age_50_59,29974
Noord_Drenthe,Age_60_69,26931
Noord_Drenthe,Age_70_79,20445
Noord_Drenthe,Age_80_150,10866
Zuidoost_Drenthe,Age_0_9,15383
Zuidoost_Drenthe,Age_10_19,19561
Zuidoost_Drenthe,Age_20_29,16532
Zuidoost_Drenthe,Age_30_39,17113
Zuidoost_Drenthe,Age_40_49,21658
Zuidoost_Drenthe,Age_50_59,26547
Zuidoost_Drenthe,Age_60_69,24020
Zuidoost_Drenthe,Age_70_79,17960
Zuidoost_Drenthe,Age_80_150,9194
Zuidwest_Drenthe,Age_0_9,13322
Zuidwest_Drenthe,Age_10_19,16287
Zuidwest_Drenthe,Age_20_29,13226
Zuidwest_Drenthe,Age_30_39,14463
Zuidwest_Drenthe,Age_40_49,17068
Zuidwest_Drenthe,Age_50_59,19626
Zuidwest_Drenthe,Age_60_69,17688
Zuidwest_Drenthe,Age_70_79,13582
Zuidwest_Drenthe,Age_80_150,7422
Noord_Overijssel,Age_0_9,43678
Noord_Overijssel,Age_10_19,48378
Noord_Overijssel,Age_20_29,45713
Noord_Overijssel,Age_30_39,45702
Noord_Overijssel,Age_40_49,48539
Noord_Overijssel,Age_50_59,51085
Noord_Overijssel,Age_60_69,42409
Noord_Overijssel,Age_70_79,30172
Noord_Overijssel,Age_80_150,15932
Zuidwest_Overijssel,Age_0_9,15964
Zuidwest_Overijssel,Age_10_19,18998
Zuidwest_Overijssel,Age_20_29,18112
Zuidwest_Overijssel,Age_30_39,17984
Zuidwest_Overijssel,Age_40_49,20678
Zuidwest_Overijssel,Age_50_59,23735
Zuidwest_Overijssel,Age_60_69,19263
Zuidwest_Overijssel,Age_70_79,13267
Zuidwest_Overijssel,Age_80_150,7538
Twente,Age_0_9,63427
Twente,Age_10_19,79336
Twente,Age_20_29,77825
Twente,Age_30_39,70723
Twente,Age_40_49,81601
Twente,Age_50_59,90472
Twente,Age_60_69,76525
Twente,Age_70_79,58484
Twente,Age_80_150,30891
Veluwe,Age_0_9,76617
Veluwe,Age_10_19,86805
Veluwe,Age_20_29,84077
Veluwe,Age_30_39,78449
Veluwe,Age_40_49,86456
Veluwe,Age_50_59,97623
Veluwe,Age_60_69,82552
Veluwe,Age_70_79,62519
Veluwe,Age_80_150,33701
Achterhoek,Age_0_9,35656
Achterhoek,Age_10_19,49275
Achterhoek,Age_20_29,38953
Achterhoek,Age_30_39,38162
Achterhoek,Age_40_49,51221
Achterhoek,Age_50_59,64943
Achterhoek,Age_60_69,56837
Achterhoek,Age_70_79,43179
Achterhoek,Age_80_150,22459
Arnhem_Nijmegen,Age_0_9,71263
Arnhem_Nijmegen,Age_10_19,83912
Arnhem_Nijmegen,Age_20_29,102214
Arnhem_Nijmegen,Age_30_39,86346
Arnhem_Nijmegen,Age_40_49,96548
Arnhem_Nijmegen,Age_50_59,108743
Arnhem_Nijmegen,Age_60_69,91825
Arnhem_Nijmegen,Age_70_79,64129
Arnhem_Nijmegen,Age_80_150,33456
Zuidwest_Gelderland,Age_0_9,26466
Zuidwest_Gelderland,Age_10_19,31552
Zuidwest_Gelderland,Age_20_29,27138
Zuidwest_Gelderland,Age_30_39,26895
Zuidwest_Gelderland,Age_40_49,32883
Zuidwest_Gelderland,Age_50_59,37966
Zuidwest_Gelderland,Age_60_69,30244
Zuidwest_Gelderland,Age_70_79,21256
Zuidwest_Gelderland,Age_80_150,9652
Utrecht,Age_0_9,152828
Utrecht,Age_10_19,162543
Utrecht,Age_20_29,182274
Utrecht,Age_30_39,175990
Utrecht,Age_40_49,181030
Utrecht,Age_50_59,184251
Utrecht,Age_60_69,145707
Utrecht,Age_70_79,103100
Utrecht,Age_80_150,54435
KopvanNoord_Holland,Age_0_9,37616
KopvanNoord_Holland,Age_10_19,45291
KopvanNoord_Holland,Age_20_29,40461
KopvanNoord_Holland,Age_30_39,41391
KopvanNoord_Holland,Age_40_49,49014
KopvanNoord_Holland,Age_50_59,56333
KopvanNoord_Holland,Age_60_69,50605
KopvanNoord_Holland,Age_70_79,38388
KopvanNoord_Holland,Age_80_150,16560
Alkmaarenomgeving,Age_0_9,25114
Alkmaarenomgeving,Age_10_19,29207
Alkmaarenomgeving,Age_20_29,26398
Alkmaarenomgeving,Age_30_39,28159
Alkmaarenomgeving,Age_40_49,33211
Alkmaarenomgeving,Age_50_59,36100
Alkmaarenomgeving,Age_60_69,31738
Alkmaarenomgeving,Age_70_79,24984
Alkmaarenomgeving,Age_80_150,11819
IJmond,Age_0_9,19626
IJmond,Age_10_19,23004
IJmond,Age_20_29,22545
IJmond,Age_30_39,21602
IJmond,Age_40_49,25648
IJmond,Age_50_59,31672
IJmond,Age_60_69,24370
IJmond,Age_70_79,18586
IJmond,Age_80_150,10935
AgglomeratieHaarlem,Age_0_9,25803
AgglomeratieHaarlem,Age_10_19,25068
AgglomeratieHaarlem,Age_20_29,24660
AgglomeratieHaarlem,Age_30_39,29734
AgglomeratieHaarlem,Age_40_49,32358
AgglomeratieHaarlem,Age_50_59,32196
AgglomeratieHaarlem,Age_60_69,26404
AgglomeratieHaarlem,Age_70_79,20745
AgglomeratieHaarlem,Age_80_150,12004
Zaanstreek,Age_0_9,18546
Zaanstreek,Age_10_19,20025
Zaanstreek,Age_20_29,20167
Zaanstreek,Age_30_39,21875
Zaanstreek,Age_40_49,24019
Zaanstreek,Age_50_59,25617
Zaanstreek,Age_60_69,19194
Zaanstreek,Age_70_79,15323
Zaanstreek,Age_80_150,7448
Groot_Amsterdam,Age_0_9,141964
Groot_Amsterdam,Age_10_19,142341
Groot_Amsterdam,Age_20_29,224896
Groot_Amsterdam,Age_30_39,215882
Groot_Amsterdam,Age_40_49,186322
Groot_Amsterdam,Age_50_59,185805
Groot_Amsterdam,Age_60_69,140045
Groot_Amsterdam,Age_70_79,92826
Groot_Amsterdam,Age_80_150,46745
HetGooienVechtstreek,Age_0_9,27827
HetGooienVechtstreek,Age_10_19,30863
HetGooienVechtstreek,Age_20_29,23949
HetGooienVechtstreek,Age_30_39,28714
HetGooienVechtstreek,Age_40_49,34711
HetGooienVechtstreek,Age_50_59,38312
HetGooienVechtstreek,Age_60_69,30945
HetGooienVechtstreek,Age_70_79,24908
HetGooienVechtstreek,Age_80_150,14741
AgglomeratieLeidenenBollenstreek,Age_0_9,43592
AgglomeratieLeidenenBollenstreek,Age_10_19,49389
AgglomeratieLeidenenBollenstreek,Age_20_29,60315
AgglomeratieLeidenenBollenstreek,Age_30_39,51016
AgglomeratieLeidenenBollenstreek,Age_40_49,54477
AgglomeratieLeidenenBollenstreek,Age_50_59,61211
AgglomeratieLeidenenBollenstreek,Age_60_69,50570
AgglomeratieLeidenenBollenstreek,Age_70_79,37048
AgglomeratieLeidenenBollenstreek,Age_80_150,19599
Agglomeratie_s_Gravenhage,Age_0_9,100548
Agglomeratie_s_Gravenhage,Age_10_19,99631
Agglomeratie_s_Gravenhage,Age_20_29,112829
Agglomeratie_s_Gravenhage,Age_30_39,122954
Agglomeratie_s_Gravenhage,Age_40_49,123011
Agglomeratie_s_Gravenhage,Age_50_59,118468
Agglomeratie_s_Gravenhage,Age_60_69,93797
Agglomeratie_s_Gravenhage,Age_70_79,64900
Agglomeratie_s_Gravenhage,Age_80_150,36073
DelftenWestland,Age_0_9,22517
DelftenWestland,Age_10_19,25436
DelftenWestland,Age_20_29,41908
DelftenWestland,Age_30_39,27940
DelftenWestland,Age_40_49,27479
DelftenWestland,Age_50_59,31572
DelftenWestland,Age_60_69,25958
DelftenWestland,Age_70_79,18534
DelftenWestland,Age_80_150,9813
Oost_Zuid_Holland,Age_0_9,36242
Oost_Zuid_Holland,Age_10_19,40470
Oost_Zuid_Holland,Age_20_29,38657
Oost_Zuid_Holland,Age_30_39,39005
Oost_Zuid_Holland,Age_40_49,42922
Oost_Zuid_Holland,Age_50_59,48598
Oost_Zuid_Holland,Age_60_69,40713
Oost_Zuid_Holland,Age_70_79,30038
Oost_Zuid_Holland,Age_80_150,14976
Groot_Rijnmond,Age_0_9,157520
Groot_Rijnmond,Age_10_19,161421
Groot_Rijnmond,Age_20_29,195780
Groot_Rijnmond,Age_30_39,190943
Groot_Rijnmond,Age_40_49,190229
Groot_Rijnmond,Age_50_59,199543
Groot_Rijnmond,Age_60_69,163753
Groot_Rijnmond,Age_70_79,117881
Groot_Rijnmond,Age_80_150,64382
Zuidoost_Zuid_Holland,Age_0_9,41851
Zuidoost_Zuid_Holland,Age_10_19,45068
Zuidoost_Zuid_Holland,Age_20_29,43871
Zuidoost_Zuid_Holland,Age_30_39,44547
Zuidoost_Zuid_Holland,Age_40_49,48088
Zuidoost_Zuid_Holland,Age_50_59,52646
Zuidoost_Zuid_Holland,Age_60_69,42719
Zuidoost_Zuid_Holland,Age_70_79,33202
Zuidoost_Zuid_Holland,Age_80_150,18243
