ZiekenhuisMetIC,CoropZiekenhuis,Locatie,Postcode,Plaats,Long,Lat,Provincie,CoropCode,COROP-standaard,Type,Polibezoeken,Aantal bedden,IC Bedden Schatting
"Admiraal	De	Ruyter	Ziekenhuis",H_OverigZeeland,Middelburg,4331LZ,Goes,51.49658346,3.610041451,Zeeland,CR32,OverigZeeland,algemeen,98267,390,13
"Albert	Schweitzer	Ziekenhuis",H_Zuidoost_Zuid_Holland,Dordrecht,3300AK,Dordrecht,51.80448046,4.698737884,Zuid-Holland,CR30,Zuidoost_Zuid_Holland,algemeen,152963,515,17
Alrijne,H_AgglomeratieLeidenenBollenstreek,Leiden,2334CK,Leiden,52.17369878,4.482223935,Zuid-Holland,CR25,AgglomeratieLeidenenBollenstreek,algemeen,153971,494,17
AMC + VU,H_Groot_Amsterdam,,1100DD,Amsterdam,51.8611924,4.358999025,Noord-Holland,CR23,Groot_Amsterdam,academisch,93058,1002,34
"Amphia	Ziekenhuis",H_West_Noord_Brabant,,4800RL,Breda,51.59348732,4.777315523,Noord-Brabant,CR33,West_Noord_Brabant,algemeen,188767,805,27
"Antoni	van	Leeuwenhoek ",H_Groot_Amsterdam,,1006BE,Amsterdam,52.37777895,4.90558954,Noord-Holland,CR23,Groot_Amsterdam,specialistisch,,,0
"Antonius	Ziekenhuis",H_Zuidwest_Friesland,Emmeloord,8303BX,Emmeloord,52.70231485,5.732858084,Friesland,CR05,Zuidwest_Friesland,algemeen,66236,286,10
"Beatrix	Ziekenhuis	-	Rivas	Zorggroep ",H_Zuidoost_Zuid_Holland,,4204AA,Gorinchem,51.83906642,4.956918275,Zuid-Holland,CR30,Zuidoost_Zuid_Holland,algemeen,56867,219,7
"Bernhoven	Ziekenhuis",H_Noordoost_Noord_Brabant,,5406PT,Uden,51.67487205,5.60172995,Noord-Brabant,CR35,Noordoost_Noord_Brabant,algemeen,91944,392,13
"BovenIJ	Ziekenhuis ",H_Groot_Amsterdam,,1030BD,Amsterdam,52.39237933,4.892105294,Noord-Holland,CR23,Groot_Amsterdam,algemeen,57725,188,6
"Bravis	Ziekenhuis",H_West_Noord_Brabant,"Bergen	op	Zoom",4624VT,Bergen op Zoom,51.48781935,4.314925648,Noord-Brabant,CR33,West_Noord_Brabant,algemeen,132637,610,21
"Canisius-Wilhelmina	Ziekenhuis ",H_Arnhem_Nijmegen,,6500GS,Nijmegen,51.84608719,5.854794917,Gelderland,CR15,Arnhem_Nijmegen,algemeen,127452,533,18
"Catharina	Ziekenhuis ",H_Zuidoost_Noord_Brabant,,5602ZA,Eindhoven,51.44199628,5.481339437,Noord-Brabant,CR36,Zuidoost_Noord_Brabant,algemeen,129023,663,22
"Centraal	Militair	Hospitaal ",H_Utrecht,,3509AA,Utrecht,52.09304138,5.075819803,Utrecht,CR17,Utrecht,specialistisch,,,0
"Deventer	Ziekenhuis ",H_Zuidwest_Overijssel,,7400GC,Deventer,52.25081457,6.16067449,Overijssel,CR11,Zuidwest_Overijssel,algemeen,93548,350,12
Diakonessenhuis,H_Utrecht,Utrecht,3508TG,Utrecht,52.09304138,5.075819803,Utrecht,CR17,Utrecht,algemeen,158127,546,18
Dijklander Purmerend,H_Groot_Amsterdam,,1441RN,Purmerend,52.50068829,4.962656158,Noord-Holland,CR23,Groot_Amsterdam,algemeen,148991,534,18
"Elkerliek	Ziekenhuis ",H_Zuidoost_Noord_Brabant,,5700AB,Helmond,51.48670836,5.662183267,Noord-Brabant,CR36,Zuidoost_Noord_Brabant,algemeen,96586,363,12
"Erasmus	MC ",H_Groot_Rijnmond,,3015CE,Rotterdam,51.91217229,4.464012036,Zuid-Holland,CR29,Groot_Rijnmond,academisch,13305,1125,38
"ETZ	TweeSteden	 ",H_Midden_Noord_Brabant,,5042AD,Tilburg,51.57678123,5.063180568,Noord-Brabant,CR34,Midden_Noord_Brabant,algemeen,148557,936,32
Flevoziekenhuis ,H_Flevoland,,1300EG,Almere,52.41690712,5.219714125,Flevoland,CR40,Flevoland,algemeen,71105,394,13
"Franciscus	Gasthuis	&	Vlietland",H_Groot_Rijnmond,Rotterdam,3045PM,Rotterdam,51.94511872,4.464481595,Zuid-Holland,CR29,Groot_Rijnmond,algemeen,213055,873,30
"Gelre	ziekenhuizen",H_Veluwe,Apeldoorn,7300DS,Apeldoorn,52.21730292,5.95979316,Gelderland,CR13,Veluwe,algemeen,136945,542,18
"Groene	Hart	Ziekenhuis ",H_Oost_Zuid_Holland,,2800BB,Gouda,52.01398633,4.700117197,Zuid-Holland,CR28,Oost_Zuid_Holland,algemeen,105814,390,13
"Haaglanden	Medisch	Centrum",H_Agglomeratie_s_Gravenhage,"Den	Haag",2512VA,Den Haag,52.07404152,4.299225546,Zuid-Holland,CR26,Agglomeratie_s_Gravenhage,algemeen,204947,695,24
HagaZiekenhuis,H_Agglomeratie_s_Gravenhage,,2504LN,Den Haag,51.97430132,4.507413088,Zuid-Holland,CR26,Agglomeratie_s_Gravenhage,algemeen,,,0
"IJsselland	Ziekenhuis",H_Groot_Rijnmond,,2900AR,Capelle a/d Ijssel,51.91427584,4.568979538,Zuid-Holland,CR29,Groot_Rijnmond,algemeen,101103,332,11
"Ikazia	Ziekenhuis	Rotterdam",H_Groot_Rijnmond,,3008AA,Rotterdam,51.95511865,4.530119091,Zuid-Holland,CR29,Groot_Rijnmond,algemeen,85239,354,12
