OHHH,stage,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,INFECTED_SYMPTOMS_SEVERE_QUEUE,CURED,DEAD
Age_0_9,HEALTHY,0,0,0,0,0,0,0,0,0
Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.022113919,0.882573732,0.09531235,0,0,0,0,0,0
Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.07666009,0,0.666667335,0.256672576,0,0,0,0,0
Age_0_9,INFECTED_SYMPTOMS_MILD,0.00046721025,0,0,0.930226094,1.67E-07,0.069150792,0,0.00015573675,0
Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752778,0,0,0.044104342,0.00014288
Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.90000306,0,0.099995885,1.06E-06
Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.90000306,0.099995885,1.06E-06
Age_0_9,CURED,0,0,0,0,0,0,0,1,0
Age_0_9,DEAD,0,0,0,0,0,0,0,0,1
Age_10_19,HEALTHY,0,0,0,0,0,0,0,0,0
Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.022113215,0.882574813,0.095311971,0,0,0,0,0,0
Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.076667593,0,0.666661355,0.256671052,0,0,0,0,0
Age_10_19,INFECTED_SYMPTOMS_MILD,0.00047845575000000007,0,0,0.930226156,4.44E-06,0.069131465,0,0.00015948525,0
Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752609,0,0,0.042973248,0.001274143
Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.900001715,0,0.099673556,0.00032473
Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.900001715,0.099673556,0.00032473
Age_10_19,CURED,0,0,0,0,0,0,0,1,0
Age_10_19,DEAD,0,0,0,0,0,0,0,0,1
Age_20_29,HEALTHY,0,0,0,0,0,0,0,0,0
Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.022112031,0.882573708,0.095314262,0,0,0,0,0,0
Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.076665505,0,0.666669694,0.256664802,0,0,0,0,0
Age_20_29,INFECTED_SYMPTOMS_MILD,0.00046354874999999997,0,0,0.930226072,1.00E-05,0.069145833,0,0.00015451625,0
Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752462,0,0,0.040710416,0.003537122
Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.900002386,0,0.099671866,0.000325748
Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.900002386,0.099671866,0.000325748
Age_20_29,CURED,0,0,0,0,0,0,0,1,0
Age_20_29,DEAD,0,0,0,0,0,0,0,0,1
Age_30_39,HEALTHY,0,0,0,0,0,0,0,0,0
Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.022102867,0.882574377,0.095322756,0,0,0,0,0,0
Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.076695134,0,0.666665157,0.256639709,0,0,0,0,0
Age_30_39,INFECTED_SYMPTOMS_MILD,0.000462174,0,0,0.930226138,3.00E-05,0.069127668,0,0.000154058,0
Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0.955752302,0,0,0.037315978,0.00693172
Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0.900002883,0,0.099676244,0.000320872
Age_30_39,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0.900002883,0.099676244,0.000320872
Age_30_39,CURED,0,0,0,0,0,0,0,1,0
Age_30_39,DEAD,0,0,0,0,0,0,0,0,1
Age_40_49,HEALTHY,0,0,0,0,0,0,0,0,0
Age_40_49,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0.022118217,0.88257417,0.095307613,0,0,0,0,0,0
Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0.076656835,0,0.666665399,0.256677766,0,0,0,0,0
