,,,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,INFECTED_SYMPTOMS_SEVERE_QUEUE,CURED,DEAD
0,Age_0_9,HEALTHY,1779869,530,0,0,0,0,0,0,0
0,Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1406,134,0,0,0,0,71,0
0,Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,269,81,0,0,0,51,0
0,Age_0_9,INFECTED_SYMPTOMS_MILD,0,0,0,253,0,0,0,19,0
0,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_0_9,CURED,0,0,0,0,0,0,0,821,0
0,Age_0_9,DEAD,0,0,0,0,0,0,0,0,0
0,Age_10_19,HEALTHY,2004390,431,0,0,0,0,0,0,0
0,Age_10_19,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1598,176,0,0,0,0,51,0
0,Age_10_19,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,328,60,0,0,0,66,0
0,Age_10_19,INFECTED_SYMPTOMS_MILD,0,0,0,291,0,0,0,16,0
0,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_10_19,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_10_19,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_10_19,CURED,0,0,0,0,0,0,0,927,0
0,Age_10_19,DEAD,0,0,0,0,0,0,0,0,0
0,Age_20_29,HEALTHY,2197479,467,0,0,0,0,0,0,0
0,Age_20_29,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1779,160,0,0,0,0,60,0
0,Age_20_29,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,348,77,0,0,0,73,0
0,Age_20_29,INFECTED_SYMPTOMS_MILD,0,0,0,307,0,0,0,24,0
0,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_20_29,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_20_29,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_20_29,CURED,0,0,0,0,0,0,0,1014,0
0,Age_20_29,DEAD,0,0,0,0,0,0,0,0,0
0,Age_30_39,HEALTHY,2103994,508,0,0,0,0,0,0,0
0,Age_30_39,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1668,181,0,0,0,0,63,0
0,Age_30_39,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,331,68,0,0,0,85,0
0,Age_30_39,INFECTED_SYMPTOMS_MILD,0,0,0,311,0,0,0,14,0
0,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_30_39,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_30_39,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_30_39,CURED,0,0,0,0,0,0,0,976,0
0,Age_30_39,DEAD,0,0,0,0,0,0,0,0,0
0,Age_40_49,HEALTHY,2256658,498,0,0,0,0,0,0,0
0,Age_40_49,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1811,164,0,0,0,0,77,0
0,Age_40_49,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,343,86,0,0,0,86,0
0,Age_40_49,INFECTED_SYMPTOMS_MILD,0,0,0,306,0,0,0,33,0
0,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_40_49,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_40_49,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_40_49,CURED,0,0,0,0,0,0,0,1045,0
0,Age_40_49,DEAD,0,0,0,0,0,0,0,0,0
0,Age_50_59,HEALTHY,2503483,530,0,0,0,0,0,0,0
0,Age_50_59,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1969,229,0,0,0,0,74,0
0,Age_50_59,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,387,102,0,0,0,80,0
0,Age_50_59,INFECTED_SYMPTOMS_MILD,0,0,0,365,0,0,0,18,0
0,Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
0,Age_50_59,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0
0,Age_50_59,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0
0,Age_50_59,CURED,0,0,0,0,0,0,0,1151,0
0,Age_50_59,DEAD,0,0,0,0,0,0,0,0,0
0,Age_60_69,HEALTHY,2085986,283,0,0,0,0,0,0,0
0,Age_60_69,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,1636,179,0,0,0,0,75,0
0,Age_60_69,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,0,309,91,0,0,0,75,0
0,Age_60_69,INFECTED_SYMPTOMS_MILD,0,0,0,300,0,0,0,21,0
0,Age_60_69,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0
