Number persons been in that stage for that many days.
Age Group,Stage,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
Age_0_9,HEALTHY,0,536,559,626,650,772,866,950,1091,1226,1343,1569,1673,1962,2251,2499,2833,3246,3591,3975,4613,5089,5656,6386,7136,7751,8788,9760,10725,12187,13503,14770,16175,17902,19789,21827,23231,25594,27841,30499,32489,34594,36824,39759,41611,43544,45229,47377,48243,49799,50979,51660,52171,52366,51803,51430,50394,49392,47473,45799,43834,41854,39439,36762,34343,32112,29520,27466,24901,23143,20859,18634,17014,15269,13461,12221,11012,9710,8687,7729,7014
Age_0_9,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,0,200241,176988,155792,135842,119709,105270,91719,80087,69711,60825,53401,46264,40267,35053,30137,26011,22257,19227,16456,14110,12224,10295,8657,7439,6159,5130,4286,3661,3120,2465,2096,1653,1367,1138,898,735,602,488,379,305,275,178,174,122,90,81,77,68,44,38,25,30,11,15,9,6,5,5,3,1,1,2,2,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Age_0_9,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,0,380297,249190,164460,107612,70785,46462,30193,19528,12791,8393,5434,3529,2217,1497,929,560,398,224,154,97,58,37,21,15,8,6,4,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_0_9,INFECTED_SYMPTOMS_MILD,0,39195,35538,32456,29799,26707,24702,22233,20190,18169,16550,14722,13294,11942,10501,9567,8174,7325,6542,5687,5062,4475,3871,3374,3023,2512,2177,1922,1631,1368,1208,997,825,702,602,488,410,378,304,272,225,195,143,124,100,85,73,57,50,50,32,28,26,24,13,9,12,8,7,7,3,5,3,4,1,3,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICpossible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_0_9,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_0_9,INFECTED_SYMPTOMS_SEVERE_QUEUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_0_9,CURED,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_0_9,DEAD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Age_10_19,HEALTHY,0,435,425,456,540,577,625,770,822,926,1050,1196,1316,1493,1602,1842,2043,2287,2529,2879,3179,3614,3908,4415,4940,5596,6070,7007,7699,8439,9519,10470,11692,12828,14189,15708,16911,19050,20699,22377,24601,26469,28480,30857,33136,35392,37294,39461,41707,43526,45130,47376,48425,50246,50605,51858,51801,52400,52020,52289,51204,50245,49038,47829,46572,44613,42796,40432,38097,35944,34273,31919,30201,27776,25953,24138,22140,20901,18965,17442,16153
