Time,HEALTHY,INFECTED_NOSYMPTOMS_NOTCONTAGIOUS,INFECTED_NOSYMPTOMS_ISCONTAGIOUS,INFECTED_SYMPTOMS_MILD,INFECTED_SYMPTOMS_SEVERE_ICpossible,INFECTED_SYMPTOMS_SEVERE_ICnotpossible,INFECTED_SYMPTOMS_SEVERE_QUEUE,CURED,DEAD
0,17252015,15665,3911,2623,0,0,0,7949,0
1,17248563,17298,3994,3044,1,1,0,9262,0
2,17244921,18955,4146,3495,1,2,0,10643,0
3,17241108,20497,4457,3922,1,7,0,12171,0
4,17236825,22378,4703,4367,5,9,0,13876,0
5,17232084,24411,5105,4840,5,9,0,15707,2
6,17226837,26764,5448,5378,6,13,0,17715,2
7,17221051,29382,5967,5948,6,21,0,19786,2
8,17214618,32309,6535,6537,10,26,0,22123,5
9,17207545,35639,7012,7239,10,34,0,24676,8
10,17199623,39374,7772,7961,13,35,0,27373,12
11,17190939,43352,8614,8733,14,33,0,30461,17
12,17181198,47956,9502,9594,15,34,0,33842,22
13,17170381,53236,10242,10582,17,33,0,37646,26
14,17158417,58841,11464,11536,18,40,0,41819,28
15,17145188,65143,12774,12673,18,45,0,46293,29
16,17130334,72352,14152,13889,21,52,0,51331,32
17,17113891,80229,15683,15329,18,53,0,56920,40
18,17095772,88832,17353,16902,20,53,0,63182,49
19,17075564,98827,19010,18707,21,59,0,69921,54
20,17052777,109880,21195,20661,22,61,0,77506,61
21,17027746,122146,23335,22926,23,66,0,85852,69
22,17000039,135441,26205,25337,30,71,0,94961,79
23,16968995,150337,29382,28033,35,76,0,105221,84
24,16934431,167406,32392,31082,37,80,0,116643,92
25,16896465,185534,36187,34471,39,89,0,129280,98
26,16853907,206294,40004,38238,37,95,0,143479,109
27,16806579,229179,44450,42465,43,107,0,159223,117
28,16754155,254813,49236,47107,50,114,0,176562,126
29,16696093,283045,54731,52257,52,117,0,195729,139
30,16631530,314381,60953,57948,57,128,0,217012,154
31,16560535,348646,67810,64271,67,132,0,240533,169
32,16481355,386608,75354,71334,74,136,0,267115,187
33,16394676,427862,83230,79189,77,154,0,296770,205
34,16298641,473621,92501,87784,82,176,0,329136,222
35,16193443,522953,102556,97187,89,183,0,365502,250
36,16077833,576875,113337,107839,91,199,0,405717,272
37,15951238,635636,125294,119675,94,219,0,449715,292
38,15811937,700323,137877,132674,101,240,0,498697,314
39,15660641,769110,152525,146769,114,246,0,552412,346
40,15494871,844285,168260,162261,122,263,0,611727,374
41,15316051,923869,184761,179780,137,273,0,676879,413
42,15122463,1009563,202153,198789,154,283,0,748317,441
43,14913350,1099758,222212,219675,172,311,0,826210,475
44,14687328,1196893,242533,242535,194,331,0,911839,510
45,14446666,1296645,265267,266407,218,374,0,1006041,545
46,14189410,1401613,288640,293138,241,426,0,1108110,585
47,13916342,1509979,313019,321525,270,476,0,1219922,630
48,13627065,1621813,338376,352390,295,541,0,1340998,685
49,13323331,1735408,365131,385184,331,592,0,1471433,753
50,13003578,1851567,392881,420338,353,628,0,1611980,838
51,12669531,1967741,421517,457883,385,699,0,1763491,916
52,12321908,2083945,450203,498170,424,769,0,1925743,1001
53,11962419,2198948,478912,540406,469,858,0,2099058,1093
54,11592939,2310272,508405,584178,509,942,0,2283729,1189
55,11213479,2419473,536519,630787,561,1031,0,2479016,1297
56,10827707,2521227,565540,678781,612,1143,0,2685740,1413
57,10435656,2617466,594021,727696,684,1281,0,2903823,1536
58,10039983,2705635,620650,778388,728,1415,0,3133676,1688
59,9640470,2787121,647291,829059,782,1559,0,3374057,1824
60,9242510,2857788,671643,881922,855,1698,0,3623759,1988
61,8845402,2918795,693859,935200,925,1872,0,3883920,2190
62,8453711,2967946,713610,987801,1027,1986,0,4153666,2416
63,8067983,3005344,730639,1040392,1113,2184,0,4431836,2672
64,7689424,3031585,745179,1092827,1199,2392,0,4716654,2903
65,7318762,3045807,757925,1143701,1292,2579,0,5008931,3166
66,6959496,3047230,768434,1192935,1390,2783,0,5306454,3441
67,6611691,3036964,774655,1240746,1475,2994,0,5609887,3751
68,6277016,3015336,777250,1286471,1573,3224,0,5917231,4062
69,5954548,2983701,776921,1329232,1688,3442,0,6228210,4421
70,5647274,2940563,774087,1368495,1809,3718,0,6541430,4787
71,5353218,2889188,769112,1404716,1957,3935,0,6854819,5218
72,5073687,2830201,760952,1437397,2099,4182,0,7167980,5665
73,4808588,2762030,751684,1465820,2274,4488,0,7481173,6106
74,4557601,2688871,739585,1491318,2393,4796,0,7791014,6585
75,4320156,2610163,724957,1512681,2507,5035,0,8099539,7125
76,4097044,2527780,706945,1530096,2654,5309,0,8404617,7718
77,3886674,2440461,688688,1544236,2788,5637,0,8705315,8364
78,3689906,2351395,668285,1553516,2922,5938,0,9001208,8993
79,3504443,2260139,648243,1558937,3049,6276,0,9291419,9657
